"regija";"prebivalstvo"
"Pomurska";117005
"Podravska";323034
"Koroška";71390
"Savinjska";259935
"Zasavska";42824
"Spodnjeposavska";69994
"Jugovzhodna Slovenija";142237
"Osrednjeslovenska";547730
"Gorenjska";203894
"Notranjsko-kraška";52517
"Goriška";118335
"Obalno-kraška";112728
