"SLOVENIJA";"Študentje";"Štipendije za Slovence v zamejstvu in po svetu";27;11;16;-;45;10;35;-;54;14;40;-;69;22;47;-;66;16;50;-;67;20;47;-;75;25;50;-
"SLOVENIJA";"Študentje";"Druge štipendije";310;134;176;-;112;49;63;-;1158;394;764;-;219;123;96;-;2257;795;1462;-;1821;649;1161;11;205;114;91;-
"SLOVENIJA";"Študentje";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"SLOVENIJA";"Neznano";"Vrsta štipendije - SKUPAJ";-;-;-;-;3;2;1;-;77;35;42;-;205;103;102;-;96;32;64;-;82;27;55;-;293;166;127;-
"SLOVENIJA";"Neznano";"Kadrovske štipendije - Skupaj";-;-;-;-;-;-;-;-;12;10;2;-;2;-;2;-;1;-;1;-;2;1;1;-;2;1;1;-
"SLOVENIJA";"Neznano";"Kadrovske štipendije sofinancirane posredno";-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"SLOVENIJA";"Neznano";"Kadrovske štipendije sofinancirane neposredno";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;1;-;2;1;1;-
"SLOVENIJA";"Neznano";"Kadrovske štipendije nesofinancirane";-;-;-;-;-;-;-;-;2;-;2;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-
"SLOVENIJA";"Neznano";"Državne štipendije";-;-;-;-;1;-;1;-;35;14;21;-;153;84;69;-;72;23;49;-;54;16;38;-;114;46;68;-
"SLOVENIJA";"Neznano";"Zoisove štipendije";-;-;-;-;1;1;-;-;30;11;19;-;38;12;26;-;23;9;14;-;26;10;16;-;22;9;13;-
"SLOVENIJA";"Neznano";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"SLOVENIJA";"Neznano";"Druge štipendije";-;-;-;-;1;1;-;-;-;-;-;-;12;7;5;-;-;-;-;-;-;-;-;-;155;110;45;-
"SLOVENIJA";"Neznano";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Štipendije - SKUPAJ";"Vrsta štipendije - SKUPAJ";4003;1782;2221;-;4570;2040;2530;-;4455;1934;2521;-;4904;2141;2763;-;2914;1156;1758;-;2612;989;1622;1;3905;1669;2236;-
"Pomurska";"Štipendije - SKUPAJ";"Kadrovske štipendije - Skupaj";270;172;98;-;286;186;100;-;229;153;76;-;192;130;62;-;172;118;54;-;121;78;43;-;122;80;42;-
"Pomurska";"Štipendije - SKUPAJ";"Kadrovske štipendije sofinancirane posredno";138;103;35;-;160;118;42;-;138;106;32;-;115;87;28;-;104;76;28;-;82;55;27;-;77;49;28;-
"Pomurska";"Štipendije - SKUPAJ";"Kadrovske štipendije sofinancirane neposredno";11;8;3;-;14;9;5;-;12;9;3;-;3;2;1;-;13;9;4;-;9;5;4;-;9;6;3;-
"Pomurska";"Štipendije - SKUPAJ";"Kadrovske štipendije nesofinancirane";121;61;60;-;112;59;53;-;79;38;41;-;74;41;33;-;55;33;22;-;30;18;12;-;36;25;11;-
"Pomurska";"Štipendije - SKUPAJ";"Državne štipendije";3118;1366;1752;-;3586;1597;1989;-;3503;1502;2001;-;4049;1777;2272;-;2032;797;1235;-;1833;682;1151;-;3296;1427;1869;-
"Pomurska";"Štipendije - SKUPAJ";"Zoisove štipendije";609;242;367;-;691;254;437;-;681;265;416;-;656;231;425;-;605;204;401;-;576;195;381;-;475;154;321;-
"Pomurska";"Štipendije - SKUPAJ";"Štipendije za Slovence v zamejstvu in po svetu";1;-;1;-;2;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Štipendije - SKUPAJ";"Druge štipendije";5;2;3;-;5;3;2;-;41;14;27;-;7;3;4;-;105;37;68;-;82;34;47;1;12;8;4;-
"Pomurska";"Štipendije - SKUPAJ";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Dijaki";"Vrsta štipendije - SKUPAJ";2350;1160;1190;-;2708;1316;1392;-;2592;1214;1378;-;2796;1313;1483;-;944;433;511;-;902;384;518;-;2352;1123;1229;-
"Pomurska";"Dijaki";"Kadrovske štipendije - Skupaj";84;61;23;-;94;73;21;-;86;60;26;-;55;43;12;-;49;38;11;-;33;26;7;-;31;27;4;-
"Pomurska";"Dijaki";"Kadrovske štipendije sofinancirane posredno";49;41;8;-;63;55;8;-;62;46;16;-;37;33;4;-;28;24;4;-;22;18;4;-;20;17;3;-
"Pomurska";"Dijaki";"Kadrovske štipendije sofinancirane neposredno";2;1;1;-;3;1;2;-;6;5;1;-;2;1;1;-;9;7;2;-;6;5;1;-;5;5;-;-
"Pomurska";"Dijaki";"Kadrovske štipendije nesofinancirane";33;19;14;-;28;17;11;-;18;9;9;-;16;9;7;-;12;7;5;-;5;3;2;-;6;5;1;-
"Pomurska";"Dijaki";"Državne štipendije";1983;980;1003;-;2269;1107;1162;-;2159;1013;1146;-;2396;1148;1248;-;575;290;285;-;570;259;311;-;2046;1013;1033;-
"Pomurska";"Dijaki";"Zoisove štipendije";282;118;164;-;345;136;209;-;347;141;206;-;345;122;223;-;319;104;215;-;299;99;200;-;275;83;192;-
"Pomurska";"Dijaki";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Dijaki";"Druge štipendije";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Dijaki";"Neznano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Pomurska";"Študentje";"Vrsta štipendije - SKUPAJ";1653;622;1031;-;1861;723;1138;-;1859;717;1142;-;2089;818;1271;-;1956;716;1240;-;1702;601;1100;1;1539;539;1000;-
"Pomurska";"Študentje";"Kadrovske štipendije - Skupaj";186;111;75;-;192;113;79;-;142;92;50;-;137;87;50;-;123;80;43;-;88;52;36;-;91;53;38;-
